id	area	capability	sources	mock_status	mock_observation	preserve_at	acceptance
NLE-01	Schnitt	Freie Montage importierter und erzeugter Medien	EditorViewModel.swift@allowsTimelineEditChrome;EditorViewModel+ClipMutations.swift;TimelineView.swift	regression	isEdit im Dummy fordert aktuelle Pipelinephase; Einfügen erfordert Shot-Zugehörigkeit	Schnitt unabhängig von Produktion	Leeres generisches Projekt: fremdes Video importieren, schneiden und exportieren ohne KI.
NLE-02	Schnitt	Mehrere Video-, Bild-, Titel-, Lottie- und Audiospuren	EditorViewModel+Tracks.swift;TimelineHeaderView.swift;Timeline.swift	partial	Eine V1/A1 plus vereinfachte Titelspur	Schnitt > bestehende Mehrspur-Timeline	Spuren erzeugen/entfernen, mehrere Bilder/Titel schichten, Höhe/Mute/Hidden/Sync-Lock erhalten.
NLE-03	Schnitt	Auswahl, Mehrfach-/Marquee-Auswahl, Kopieren, Duplizieren, Verschieben	TimelineInputController.swift;EditorViewModel+Clipboard.swift	partial	Einzelauswahl und vereinfachtes Clip-Ziehen	Timeline und Kontextmenü	Gruppen und verbundene Clips bewegen; Option-Duplizieren, Clipboard und Undo wirken auf dieselben Instanzen.
NLE-04	Schnitt	Split, Rasierklinge, Trim, Ripple Delete, Lücken schließen	EditorViewModel+Ripple.swift;TimelineInputController.swift;ToolbarView.swift	partial	Grundwerkzeuge vorhanden; Ripple-Semantik und Lückenfälle unvollständig	Timeline-Werkzeuge und Shortcuts	Trim/Entfernen mit gesperrten bzw. verknüpften Spuren prüfen; keine stillen Zeitverschiebungen.
NLE-05	Schnitt	Insert/Overwrite und quellzeitgebundene Segment-Drops	RippleEngine.swift;OverwriteEngine.swift;EditorViewModel+Ripple.swift	partial	Vereinfachter V1-Insert; nicht alle Overwrite-/Track-Fälle	Timeline-Drop, Quellviewer und Kontextaktion	Einfügen und Überschreiben unterscheiden; korrekte Quell-In/Outs und Typkompatibilität erhalten.
NLE-06	Schnitt	Snapping, Zoom, Scroll, Auto-Scroll und Track-Höhen	SnapEngine.swift;TimelineInputController.swift;EditorViewModel+Tracks.swift	partial	Zoom und Dock-Höhe; kein vollständiges Snapping/Track-Handling	Timeline	Framegenau an Clips/Playhead einrasten; Zoomen hält Anker; Ziehen über sichtbare Grenzen funktioniert.
NLE-07	Schnitt	Link/Unlink, Sync-Lock, Mute/Hidden	EditorViewModel+Linking.swift;EditorViewModel+Tracks.swift;TimelineView.swift	partial	Mute/Hidden simuliert, Sync-Lock explizit inaktiv	Track-Kopf und Clip-Kontextmenü	Linking und Sync-Lock nicht gleichsetzen; Companion-Clips und Ton bei Edits korrekt behandeln.
NLE-08	Schnitt	Bereich auswählen, Bereich als Medium sichern, Auswahl übergeben	EditorViewModel+TimelineRange.swift;EditorViewModel+SaveAsMedia.swift;TimelineView.swift	missing	Kein Sequenzbereich im Dummy	Timeline-Bereich und strukturierte kontextbezogene Aktion	Anfang/Ende exakt erhalten; als Medium sichern und Quelldauer prüfen; Chat-Aktion durch begrenzten Auftrag ersetzen.
NLE-09	Schnitt	Quelle austauschen und Clip als neues Medium sichern	EditorViewModel+MediaSwap.swift;EditorViewModel+SaveAsMedia.swift	missing	Quellpicker bietet keine vollständige Swap-/Save-As-Media-Funktion	Clip-Kontextmenü, zweckgebundener Quellen-Picker	Kompatibilität, Abbruch, Trim/Speed und bestehende Clip-Instanz erhalten.
NLE-10	Schnitt	Audio anhand Inhalt synchronisieren	EditorViewModel+AudioSync.swift;AudioSyncCorrelator.swift;TimelineView+AudioSyncMenu.swift	missing	Nicht simuliert	Kontextmenü geeigneter Timeline-Auswahl	Referenzquelle, ermittelten Versatz und nicht synchronisierbare Quellen verständlich behandeln.
VIEW-01	Vorschau	Mehrere Quell-Tabs, Timeline-Tab, Zurück/Vor und Tabs schließen	EditorViewModel+PreviewTabs.swift;PreviewContainerView.swift	partial	Ein Quellkontext und Rückkehr; kein vollständiger Tab-Verlauf	Viewer	Mehrere Quellen öffnen/schließen ohne die Timeline oder Quellpositionen zu verlieren.
VIEW-02	Vorschau	Transport, Scrub, framegenaues Steppen, Bild-Zoom/Fit/Pan	PreviewContainerView.swift;VideoEngine.swift;PreviewView.swift	partial	Standbildtransport, nicht alle nativen Zoom-/Pan-Wege	Viewer jeder passenden Arbeitsfläche	Aktive Quelle vs Timeline unterscheiden; Fit und Zoom ändern keine Ausgabegeometrie.
VIEW-03	Vorschau	Aktuelles Bild als Medium sichern	PreviewContainerView.swift@captureFrameButton;EditorViewModel+MediaLibrary.swift	missing	Fehlt	Kleines lokales Viewer-Symbol	Exaktes angezeigtes Frame erscheint im Medienpool mit eigener Identität.
VIEW-04	Vorschau	Offline-, Generierungs-, Fehler- und Retry-Zustände	PreviewContainerView.swift;GeneratingOverlay.swift	partial	Einfache leere/Generierungszustände, kein vollständiger Fehlerweg	Viewer und Auftragsstatus	Defekte Quelle nicht als schwarzes erfolgreiches Video darstellen; Relink/Fehlermeldung erreichbar.
POST-01	Postproduction	Position, Skalierung, Rotation, Deckkraft, Flip und Crop	InspectorView.swift@transformSection;TransformOverlayView.swift;CropOverlayView.swift	partial	Nur Position/Skalierung/Deckkraft; Rotation, Flip und Crop fehlen	Postproduction > Bild und gemeinsamer Video-Inspector; auch im Schnitt erreichbar	Felder und direkte Canvas-Griffe bleiben synchron; Crop-Presets/Originalverhältnis und Reset erhalten.
POST-02	Postproduction	Tempo und retimete Clipbereiche	InspectorView.swift@speedSection;EditorViewModel+ClipMutations.swift	partial	Vereinfachtes Tempo	Schnitt > Clip-Inspector	Dauer, Quell-In/Out, verknüpfter Ton und nachfolgende Clips nach tatsächlicher nativer Semantik behandeln.
POST-03	Postproduction	Keyframes für Transform/Deckkraft/Lautstärke und Navigation	KeyframesLane.swift;EditorViewModel+Keyframes.swift;InspectorView.swift@keyframeControls;Keyframe.swift	missing	Keine Keyframe-Lanes oder Navigation	Schnitt/Postproduction > gemeinsames Keyframe-Panel am Inspector	Keyframe setzen/löschen/verschieben, Wert editieren und vorheriges/nächstes anspringen.
POST-04	Postproduction	Interpolation und zeitabhängige Effektparameter	KeyframesLane.swift;TimelineView.swift@performSetVolumeKfInterpolation;Effect.swift	missing	Nicht simuliert	Schnitt/Postproduction > gemeinsames Keyframe-/Timeline-Kontextmenü	Vorhandene Interpolationsarten und animierte Werte bewahren; ein statischer Regler ersetzt sie nicht.
POST-05	Postproduction	Tonwerte, Weißabgleich, Vibrance und Sättigung	AdjustTab.swift@toneControls;EffectRegistry.swift	partial	Nur Belichtung und Sättigung	Postproduction > Farbe > vorhandener Adjust-Inspector; auch im Schnitt erreichbar	Alle vorhandenen Parameter sowie Gruppen-Bypass, Reset, Undo und Mehrfachauswahl erhalten.
POST-06	Postproduction	RGB-Kurven und Hue-Kurven	AdjustTab.swift@curvesContent;CurveEditorView.swift;HueCurveEditorView.swift;GradeCurve.swift;HueCurves.swift	missing	Nur im Hinweissatz erwähnt, keine Bedienfläche	Postproduction > Farbe > gemeinsamer Adjust-Inspector	Kanäle/Punkte und Farbzielkurven bearbeiten, zurücksetzen und rendern; keine neuen unabhängigen Grade-Daten.
POST-07	Postproduction	Farbräder	AdjustTab.swift@wheelsContent;ColorWheelControl.swift;ColorWheels.swift	missing	Fehlt	Postproduction > Farbe > gemeinsamer Adjust-Inspector	Schatten/Mitten/Lichter und vorhandene Parameter verwenden; Wirkung und Rücksetzung prüfen.
POST-08	Postproduction	LUT laden, Intensität, Bypass und Verwaltung	AdjustTab.swift@lutContent;LUTLoader.swift;LUTTetraKernel.swift	missing	Fehlt	Postproduction > Farbe > LUTs	Projektlokale LUT-Bindung, Intensität und Export erhalten; kein rein dekoratives Preset.
POST-09	Postproduction	Schärfen, Entrauschen, Clarity und Dehaze	AdjustTab.swift@detailControls;EffectRegistry.swift	missing	Fehlt	Postproduction > Effekte > Detail	Vorhandene gerenderte Parameter, Reset und Reihenfolge erhalten.
POST-10	Postproduction	Blur und Motion Blur	AdjustTab.swift@blurControls;EffectRegistry.swift	missing	Fehlt	Postproduction > Effekte	Menge und Richtung des vorhandenen Effekts erhalten, keine Behauptung von Bewegungsschätzung.
POST-11	Postproduction	Vignette, Grain und Glow	AdjustTab.swift@vignetteControls;EffectRegistry.swift	missing	Fehlt	Postproduction > Effekte	Alle bestehenden Teilparameter und Bypass/Reset erreichbar halten.
POST-12	Postproduction	Chroma Key	AdjustTab.swift@chromaKeyControls;ChromaKeyKernel.swift	missing	Fehlt	Postproduction > Effekte > Chroma Key	Farbton, Toleranz, Softness und Spill sowie Komposition über darunterliegender Spur erhalten.
POST-13	Postproduction	Farbmessung und referenzbezogene KI-Farbkorrektur	ToolExecutor+Color.swift;ColorScopes.swift;ToolDefinitions.swift@inspectColor	adapter	Kein Inspector-Einstieg; native Engine/Tools vorhanden, kein belegtes Resolve-Scopes-Panel	Postproduction > Farbvergleich am Clip, vorhandene Mess-/Apply-Tools	Gemessene Werte und Referenz unterscheiden; KI-Änderung prüfbar annehmen und rückgängig machen. Kein erfundenes Scope-Panel als Bestand zählen.
POST-14	Postproduction	Audiopegel, Fades, Lautstärke-Keyframes und Tempo	AudioTab.swift;TimelineInputController.swift@addVolumeKeyframeOnClick;CompositionBuilder.swift	partial	Ein A1-Pegel/Mute; Fades und Automation fehlen	Postproduction > Ton; gemeinsame Audio-Inspector-/Hüllkurven-Werkzeuge auch im Schnitt	Mehrere Audioclips separat bearbeiten; Fade-Knie und Interpolation prüfen.
POST-15	Postproduction	Titel, Typografie, Farbe, Hintergrund, Kontur, Schatten, Layout	TextTab.swift;TextStyle.swift;TextLayerController.swift	partial	Ein vereinfachter Textdialog	Postproduction > Titel; gemeinsamer Text-Inspector und Canvas, auch im Schnitt erreichbar	Titelclips von Textdokumenten unterscheiden; Styling, Ausrichtung, Position und mehrlagige Titel erhalten.
POST-16	Postproduction	Automatische Untertitel mit Sprache, Quelle und Stil	CaptionTab.swift;CaptionBuilder.swift;EditorViewModel+Captions.swift	missing	Fehlt	Postproduction > Untertitel, Vorschau und gemeinsamer Text-Inspector; auch im Schnitt erreichbar	Quelle/Track, Sprache, Layout und Stil wählen; echte Caption-Clips erzeugen und editieren.
POST-17	Postproduction	Füllwörter entfernen, Caption-Korrekturen und Übersetzung	CaptionTab.swift@prefillCaptionTask;ToolExecutor+Words.swift;WordCutPlanner.swift	adapter	Vorhandene Einstiege senden teils Chat-Aufträge; keine Alternative im Dummy	Schnitt > Untertitel > begrenzte Änderungs-/Schnittvorschläge	Vorher/Nachher und betroffene Zeitbereiche prüfen; bestehendes remove_words/Ripple verwenden.
PROD-01	Produktion	Generische Phasen plus Pack-Ergänzungen/Abweichungen	UIContract.swift;EngineRegistry.swift;MusicvideoPack.swift;ProjectCockpitView.swift	regression	Dummy verwendet festes Zielphasen-Array und pauschale Pack-Farbe	Produktion-Sidebar aus aufgelöstem Host-/Pack-Vertrag	Generischer und Musicvideo-Vertrag unterschiedliche Phasen/Intakes/Oberflächen; unbekannter Pack nicht als generisch öffnen.
PROD-02	Produktion	Track, optionale Lyrics, Init, Analyse, danach optionales Material	HardStepManifest.swift;AgentDialogCard.swift;MUSICVIDEO_START_CONTRACT.md	partial	Grundreihenfolge simuliert, vollständige Intake-Karten fehlen	Produktion > aktueller strukturierter Schritt	Medienimport ist keine Zuweisung; Lyrics überspringen möglich; Greenfield ohne vorhandene Geschichte bleibt vollständig.
PROD-03	Produktion	Wiederholbare vorbereitete Figuren/Orte und Stilreferenzen	AgentDialogCard.swift@clearRepeatableDraft;Sources/MusicvideoPlugin/Resources/MusicvideoPack/hardsteps.json	missing	Figuren-/Orts-Intake nicht gleichwertig vorhanden	Nach bestätigter Analyse, optionaler Materialschritt	Name/Bilder erforderlich, nummerierte Einträge, erstes Skip und später Done ausdrücklich; keine erfundenen Briefingbilder.
PROD-04	Produktion	Audioanalyse: Beats/Downbeats, Strukturhierarchie, Energie, Tempo/Tonart	AnalysisSurfaceData.swift;AnalysisPanelView.swift;PackSurfacePrimitives.swift;AnalysisRunner.swift	partial	Visuelle Demo ohne vollständige gemessene Hierarchie und Provenienz	Musicvideo > Audioanalyse; generische Pack-Primitives wiederverwenden	Section/Segment/Phrase-Grenzen und Messwerte aus kanonischen Daten zeigen, nicht frei neu schätzen.
PROD-05	Produktion	Analysequalität, ungeklärte Struktur, Remeasurement und Messdiagnose	AnalysisPanelView.swift@structureReviewBanner;AnalysisMeasurementProof.swift	missing	Fehler-/Review-required- und echte Runner-Zustände fehlen	Audioanalyse > kontextbezogene Hinweise und Aktion	Unsichere Struktur nicht als sicher freigeben; neue Messung zeigt echte Stufen und aktuellen Track.
PROD-06	Produktion	Brief, Production Design, Treatment und Storyboard als getrennte Artefakte	StoryPanelView.swift;PipelineArtifactWriteContract.swift;UIContract.swift	partial	Separate Dokumentansichten, aber teilweise erfundene zusätzliche Phasen	Produktion > jeweiliges Dokument; kanonischen Writer wiederverwenden	Änderung/Revision/Approval exakt demselben Artefakt zuordnen, nicht nur Text im Browser ersetzen.
PROD-07	Produktion	Patterns, Affect, gemessene Signatur und evidenzbasierte Empfehlung	PatternRecommendationSet.swift;PatternFitScorer.swift;StoryPanelView.swift;PATTERN_FIT_CONTRACT.md	partial	Kreative Beispielwahl ersetzt nicht den vorhandenen Fit-Vertrag	Brief/Treatment > visuelle Wahl mit begründeten Empfehlungen	Messung, Interpretation und Präferenz trennen; Alternativen zulassen; Konfidenz nicht aus fehlenden Daten erfinden.
PROD-08	Produktion	Characters, Ensembles, Props, Locations und Look	BiblePanelView.swift;Bible.swift;InspectorView.swift@entityInspectorContent	partial	References vereinfacht Identitäten/Anker; Ensembles und vollständige Entitäten fehlen	References > Identitäten/Objekte/Orte/Look mit gemeinsamem Objekt-Inspector	Umbenennung Bible zu References ändert weder Schema noch Entity-IDs oder Datentypen.
PROD-09	Produktion	Objektgraph, Verwendung, Breadcrumbs und Shot-Provenienz	ObjectGraph.swift;InspectedObject.swift;InspectorView.swift@shotProvenanceSections	missing	Vereinfachte Shot-Links; kein vollständiger Graph	Objektbezogener Inspector in allen Arbeitsbereichen	Von Figur zur Verwendung, zum Shot, Take und Timeline-Clip navigieren ohne Selektion umzudeuten.
PROD-10	Produktion	Ledger-Attribute mit Sperre, Herkunft und entity-bezogener Bearbeitung	Ledger.swift;InspectorView.swift@ledgerSection;InspectorView.swift@applyEntityEdit;ToolExecutor+Workflow.swift	adapter	Keine vollständige Attribut-/Sperrfläche; Edit läuft nativ über Agent	References > Objekt-Inspector, strukturierter Änderungsauftrag	Gesperrte Identitäts-/Stilattribute nicht still überschreiben; Herkunft und Auswirkungen der Änderung sichtbar.
PROD-11	Produktion	Hybride Shotquellen generated/live_action/ai_enhanced	ShotlistPanelView.swift;EditorViewModel+Shotlist.swift;PipelineShotlistWriter.swift	partial	Quellmodi exemplarisch, echte Writer-/Dateivalidierung fehlt	Shotplanung > Quelle und Produktionsart	Importiertes/AI-enhanced Material hat exakten source_path; Frames wird passend übersprungen; kein automatisches Substituieren.
PROD-12	Produktion	Shot-Dauern, Kamera, Modelle, Eingabe-/Conditioning-Strategien	Shotlist.swift;ConditioningStrategyV1.swift;ExecutionPlanValidator.swift	partial	Nur wenige Clip-/Kameraparameter und Demo-Modelle	Shotplanung > kontextabhängiger Inspector	Planlänge, Providerdauer, Handles, Referenzrollen und ausführbare Modellfähigkeit konsistent prüfen.
